iter	Logloss
0	0.6645798838
1	0.6381084332
2	0.6151098967
3	0.5959068466
4	0.5782669556
5	0.5609424784
6	0.5482082246
7	0.5356591643
8	0.5207756705
9	0.5065761485
10	0.4862966002
11	0.47448691
12	0.4684842376
13	0.4594747929
14	0.4453376407
15	0.4368935479
16	0.4292816995
17	0.4175921705
18	0.4095078688
19	0.4023453022
20	0.3950794856
21	0.3847286711
22	0.379762593
23	0.3770183385
24	0.3711245734
25	0.3617645722
26	0.3583677691
27	0.3524957061
28	0.340265588
29	0.3250800651
30	0.3221334164
31	0.3155174189
32	0.309481161
33	0.3037229014
34	0.3011769546
35	0.2970720974
36	0.2934374011
37	0.2907068366
38	0.2851433222
39	0.2805735232
40	0.2744998393
41	0.2715056679
42	0.2681656147
43	0.265673696
44	0.2623294777
45	0.2593864867
46	0.2514322861
47	0.2441095376
48	0.2397268207
49	0.2367487286
50	0.2293331933
51	0.227215343
52	0.22547286
53	0.224473215
54	0.2178898799
55	0.2139894749
56	0.2127296849
57	0.2110665265
58	0.2061468055
59	0.1994560875
60	0.1932534066
61	0.1880429213
62	0.1802153081
63	0.176890941
64	0.172682107
65	0.1681279778
66	0.1643157891
67	0.1586664052
68	0.1532760141
69	0.1496966048
70	0.1458568709
71	0.1455086836
72	0.1393924111
73	0.1331235991
74	0.1285256843
75	0.12496498
76	0.1204753733
77	0.1196722097
78	0.1170549687
79	0.1127887273
80	0.1102182717
81	0.1068942216
82	0.1035866049
83	0.1030190405
84	0.1013597043
85	0.1001685405
86	0.0977612318
87	0.09453535444
88	0.09196244842
89	0.08836852161
90	0.08702795903
91	0.08463563183
92	0.08364594174
93	0.08190464321
94	0.08027640969
95	0.07859767169
96	0.07656426264
97	0.07456333881
98	0.07339720047
99	0.07312575134
100	0.07143658113
101	0.06994408059
102	0.06768412758
103	0.06660368308
104	0.06548314984
105	0.06463569521
106	0.06302239126
107	0.06177767229
108	0.06116683897
109	0.05922871168
110	0.05777810126
111	0.05613214712
112	0.05469382401
113	0.05357921843
114	0.05242470635
115	0.05121879348
116	0.04998820798
117	0.0491858795
118	0.0479194024
119	0.04747535506
120	0.04685115757
121	0.04610810606
122	0.04494972236
123	0.0443650099
124	0.04362861475
125	0.04316824511
126	0.04238590236
127	0.04154498913
128	0.04065532911
129	0.03970126451
130	0.03881720449
131	0.03815630964
132	0.0375796844
133	0.03704573642
134	0.03625878612
135	0.03556089723
136	0.0350961039
137	0.03439772278
138	0.0337871007
139	0.03371873331
140	0.033592943
141	0.03289728184
142	0.03232457259
143	0.0318261206
144	0.03126862368
145	0.03056465441
146	0.03016155763
147	0.02964615706
148	0.02906312183
149	0.02862943625
150	0.02803599191
151	0.02759941954
152	0.02711452636
153	0.02660229085
154	0.02624958536
155	0.02575202467
156	0.02547734654
157	0.02538368489
158	0.02495135795
159	0.02466958042
160	0.02451185494
161	0.02430013263
162	0.02388552006
163	0.02372749209
164	0.02342466706
165	0.02306046223
166	0.02274959154
167	0.02245397062
168	0.02239411652
169	0.02233090025
170	0.02226855786
171	0.02196782803
172	0.02157873605
173	0.02153863975
174	0.02133738829
175	0.02114257572
176	0.02100891237
177	0.02065696819
178	0.02052390355
179	0.0203050792
180	0.02013700465
181	0.02002054357
182	0.01983932324
183	0.01968716424
184	0.01943685966
185	0.01917130648
186	0.01887470967
187	0.01870342793
188	0.01854485601
189	0.01828729324
190	0.0181741149
191	0.01797025306
192	0.01785085983
193	0.01775530754
194	0.0177069656
195	0.01750199128
196	0.01722453403
197	0.01693366705
198	0.01668534031
199	0.01650911817
