iter	Logloss
0	0.6849787818
1	0.6759584639
2	0.6677797953
3	0.6573453691
4	0.6493931664
5	0.6424444834
6	0.6336330838
7	0.6276572757
8	0.621299786
9	0.6129270342
10	0.6036153158
11	0.59754147
12	0.5924581316
13	0.587079027
14	0.5800689697
15	0.5754366557
16	0.5705782572
17	0.5631017049
18	0.559313541
19	0.5560771518
20	0.5514337328
21	0.5467199537
22	0.5426154243
23	0.5394572788
24	0.5371617211
25	0.5337669373
26	0.5294628567
27	0.5242760976
28	0.5195327759
29	0.5153786553
30	0.511043379
31	0.508359358
32	0.5044356028
33	0.5007546319
34	0.4959659153
35	0.492184533
36	0.4890781826
37	0.4858332316
38	0.4822976006
39	0.4792101542
40	0.4754873064
41	0.4718120999
42	0.4687744141
43	0.4646048228
44	0.4617921193
45	0.4588106791
46	0.4554607815
47	0.4528238932
48	0.4486819797
49	0.4469985114
50	0.4435924954
51	0.440815311
52	0.4381568061
53	0.436103736
54	0.43327997
55	0.4312018924
56	0.4282476637
57	0.4259329054
58	0.423508962
59	0.4198649512
60	0.4167651706
61	0.4137560527
62	0.4110074785
63	0.4078756544
64	0.4055154588
65	0.4033250597
66	0.4001173231
67	0.3985538059
68	0.3956236945
69	0.392678282
70	0.3904039171
71	0.3880951352
72	0.3854030609
73	0.3838232676
74	0.381531016
75	0.3795551724
76	0.3773906284
77	0.3750565847
78	0.3723313649
79	0.3701212565
80	0.3679801941
81	0.365209198
82	0.3623758104
83	0.3603102366
84	0.3579566108
85	0.3565141042
86	0.3540906058
87	0.3520374722
88	0.3506590525
89	0.3485372331
90	0.3471832063
91	0.3445126216
92	0.3429522832
93	0.3407829073
94	0.33909306
95	0.337110689
96	0.3351056417
97	0.3330126868
98	0.3315823025
99	0.3305723614
100	0.3287396325
101	0.3269033644
102	0.3250457764
103	0.323751492
104	0.3225498623
105	0.3207648383
106	0.3190942976
107	0.3171168433
108	0.3148399141
109	0.3127138562
110	0.311332194
111	0.3103900062
112	0.3086112128
113	0.3070249557
114	0.3052432166
115	0.3044375102
116	0.3022392273
117	0.3007516013
118	0.2990978665
119	0.297432518
120	0.295998213
121	0.2947494083
122	0.2940994263
123	0.2925100962
124	0.291308954
125	0.2890165329
126	0.2873539819
127	0.2865852992
128	0.2854109658
129	0.2841611226
130	0.2833371056
131	0.2815253788
132	0.2801538891
133	0.2785705143
134	0.276502694
135	0.2752966987
136	0.2738875283
137	0.2721533246
138	0.2713288837
139	0.2701730516
140	0.2685180028
141	0.2673285166
142	0.2664657169
143	0.2654571109
144	0.2633693483
145	0.2621155209
146	0.2606625451
147	0.2594340854
148	0.2584059185
149	0.2569710202
150	0.2556358761
151	0.2543714311
152	0.2534537421
153	0.2522879706
154	0.2512278663
155	0.2497379727
156	0.2483680937
157	0.2473336326
158	0.2461387634
159	0.2452312469
160	0.2441657172
161	0.2431583828
162	0.241627672
163	0.2405738407
164	0.2389931997
165	0.2375320223
166	0.2359718323
167	0.2348155551
168	0.234269121
169	0.2333906809
170	0.2322902891
171	0.2307121065
172	0.2287776947
173	0.227630255
174	0.2270081202
175	0.2251192305
176	0.2236234453
177	0.2225910187
178	0.2211558872
179	0.2204165353
180	0.2195456611
181	0.2184413698
182	0.2178576999
183	0.2171513451
184	0.2159960429
185	0.2151125166
186	0.2143417358
187	0.2131188287
188	0.2119878769
189	0.2112240262
190	0.2099010256
191	0.2092563205
192	0.2081687291
193	0.2070645226
194	0.2056996451
195	0.2048662821
196	0.203119829
197	0.2019577662
198	0.2009973738
199	0.2004609002
200	0.1990917206
201	0.1984373728
202	0.1973625607
203	0.1969085058
204	0.1957335578
205	0.195059967
206	0.1940825144
207	0.1929226557
208	0.1920635223
209	0.1909947713
210	0.1900894165
211	0.1894464705
212	0.1887782839
213	0.1878452301
214	0.1865088357
215	0.1851812363
216	0.1841165755
217	0.1835294935
218	0.1820783827
219	0.1813436932
220	0.1807422426
221	0.1796744029
